Root,,derivation
செய்,889,"செய்து,செய்ய,செய்யவும்,செய்வதில்,செய்யும்,செய்யப்பட்டு,செய்கின்றன,செய்துள்ள,செய்வதன்,செய்வதால்,செய்யவேண்டும்,செய்யாத,செய்யும்போது,செய்தால்,செய்வதினால்,செய்வீர்களானால்,செய்துப்,செய்தல்,செய்வதற்கு,செய்வது,செய்யக்கூடியவை,செய்யக்கூடாது,செய்யப்படும்,செய்கிறது,செய்யக்கூடியது,செய்யப்படுகிறது,செய்வதில்லை,செய்யாமல்,செய்துவிட,செய்யப்பட்டுள்ளது,செய்தோம்,செய்தீர்கள்,செய்துவிடுகிறது,செய்வார்கள்,செய்தார்,செய்யுங்கள்,செய்வதை,செய்திருக்க,செய்கின்றனர்,செய்தும்,செய்யப்பட்டுள்ளனர்,செய்துகொண்டே,செய்யவேண்டியதெல்லாம்,செய்துள்ளது,செய்வதற்கும்,செய்யப்படுகிறதா,செய்யவேண்டியதில்லை,செய்யப்பட்டவர்களை,செய்யவிருக்கிறார்கள்,செய்தாலும்,செய்தனர்,செய்யப்பட்டது,செய்பவர்கள்,செய்யமுடியாத,செய்கிறார்,செய்துகொண்டிருந்த,செய்துள்ளனர்,செய்யமுடியும்,செய்யப்படுவர்,செய்திருந்தால்,செய்யவிரும்பும்,செய்திருக்கிறார்,செய்யவேண்டியது,செய்கிறார்கள்,செய்துள்ளதாக,செய்திருந்தனர்,செய்யப்படுகின்றன,செய்யவோ,செய்ததை,செய்துகொள்ள,செய்துவிட்டு,செய்யப்படுவதால்,செய்யப்படுவார்கள்,செய்வதே,செய்யப்பட்டும்,செய்துள்ளார்,செய்வதற்கான,செய்திருந்தது,செய்வதற்காக,செய்திட,செய்வோம்,செய்தது,செய்தவர்,செய்துகொள்ளும்,செய்திருக்கின்றனர்,செய்யப்பட்டுள்ளதாக,செய்துள்ளேன்,செய்தவர்கள்,செய்ததால்,செய்ததாகவும்,செய்துள்ளோம்,செய்யவில்லை,செய்திருக்கிறோம்,செய்யுமா,செய்யப்பட்டால்,செய்துகொண்டிருக்கும்,செய்தால்தான்,செய்துகொண்டிருக்கிறார்கள்,செய்வதின்,செய்தபின்னரே,செய்யவேண்டியதற்கான,செய்யலாமே,செய்துவிட்டால்,செய்யப்படுவதில்லை,செய்வர்,செய்யப்படுவதுண்டு,செய்பவை,செய்தே,செய்யப்பட்டதால்,செய்கின்றது,செய்துகொள்கிறார்கள்,செய்யத்,செய்வதுதான்,செய்யப்படக்கூடிய,செய்கிறோம்,செய்யாததால்,செய்வதற்குப்,செய்வதற்குச்,செய்வதைப்,செய்தபோது,செய்துள்ளார்கள்,செய்யமாட்டார்கள்,செய்வதும்,செய்வதற்காகப்,செய்வதைவிட,செய்யவுள்ள,செய்யக்கூடும்,செய்வதற்குத்,செய்யப்பட்டிருக்கும்,செய்திருப்பார்கள்,செய்துவிடும்,செய்யப்பட்டன,செய்ததுதான்,செய்தவுடன்,செய்பவர்களுக்கான,செய்துவிடுமா,செய்வதுண்டு,செய்பவராகவும்,செய்யப்படுகின்றனர்,செய்யமாட்டேன்,செய்வேன்,செய்யப்பட்டதிலும்,செய்ததில்,செய்பவன்,செய்ததில்லை,செய்வதாக,செய்தாக,செய்தேன்,செய்துவிடலாம்,செய்தார்கள்,செய்துவிடுவேன்,செய்பவர்களுக்கு,செய்யமுடியாது,செய்வதனால்,செய்துகொண்டுள்ளனர்,செய்துகொள்கின்றனர்,செய்துகொள்வதைத்,செய்வதுடன்,செய்யப்படுகின்றது,செய்கிறானோ,செய்பவருக்கு,செய்யப்பட்டாலும்,செய்யப்படும்போது,செய்துகொள்ளலாம்,செய்வதற்குள்,செய்துகொள்ளவும்,செய்வாரா,செய்யப்பட்டுவிட்ட,செய்துகொண்டால்,செய்திருக்கிறது,செய்வோர்,செய்வதைத்,செய்யாமல்விட்டால்,செய்யப்படுகிறதோ,செய்யப்பட்டவுடன்,செய்யப்பட்டுவிடும்,செய்யப்பட்டதுதான்,செய்யும்போதெல்லாம்,செய்பவர்களும்,செய்தவனாக,செய்யப்பட்டதாக,செய்துள்ளதும்,செய்கிறேன்,செய்துதான்,செய்வதுபோல்,செய்பவர்களுக்குத்,செய்துக்,செய்யும்போதும்,செய்கின்றவர்கள்,செய்யக்கூடாதாம்,செய்தாலே,செய்திடும்,செய்பவையே,செய்திருக்கிறேன்,செய்யப்பட்டதில்,செய்யப்போவதாக,செய்கின்றார்கள்,செய்வதிலும்,செய்வதற்கென,செய்யப்படுவதாக,செய்திருக்கிறார்கள்,செய்யப்படுகிறார்கள்,செய்பவர்களில்,செய்தபடியே,செய்யச்,செய்வதாகும்,செய்யும்பொழுது,செய்யவிருப்பதாலும்,செய்தால்கூடப்,செய்திருந்தாலும்,செய்பவர்களுக்கும்,செய்துகொள்ளுங்கள்,செய்யப்படுவதற்காக"
இது,868,"இது,இதை,இதுகுறித்து,இதனை,இதையும்,இதனைக்,இத்தகைய,இதன்,இதில்,இதனால்,இதற்கு,இதுவே,இதற்கான,இத்தனை,இதைப்,இதுவும்,இதுதான்,இதுவரை,இதெல்லாம்,இதன்மூலம்,இதைத்,இதற்காகவே,இதனடிப்படையில்,இத்துடன்,இதோ,இதைச்,இதைத்தான்,இதனையடுத்து,இதையடுத்து,இதுபோன்ற,இதனைத்,இதுவாகும்,இதுமட்டுமன்று,இதைவிடச்,இதனைப்,இதற்கிடையே,இதுபோல்,இதுபோன்று,இதுமட்டுமல்லாமல்,இதுதவிர,இதுவரையில்,இதன்படி,இதையே,இதையெல்லாம்,இதற்கும்,இதனுடன்,இதைக்,இதனுடைய,இதுமாதிரி,இதிலும்,இதற்கெல்லாம்,இதோடு,இதிலிருந்து,இதற்குப்,இதுமாதிரியான,இதைப்பற்றி,இதுநாள்,இதிலுள்ள,இதுமட்டுமில்லாமல்,இதற்கேற்ற,இதற்குச்,இதுபோல்தான்,இதுவொரு,இதைத்தவிர,இதுவரைக்கும்,இதனின்,இதற்கென,இதுபோகத்,இதற்குத்,இதனால்தான்,இதற்கடுத்ததாக,இதற்குக்,இதனிலும்,இதுவோ,இதுமட்டுமல்லாது,இதைப்பற்றிப்,இதற்கிடையில்,இதனது,இதற்குள்,இதனுள்,இதற்கென்று,இத்தனைக்கும்,இதுபோன்றே,இதுவரையிலும்,இதைப்போன்று,இதன்பின்,இதனாலேயே,இதைப்போலவே,இத்தகையச்"
இரு,851,"இருந்தால்,இருக்கும்,இருக்கும்பொழுது,இருந்து,இருந்தது,இருக்கிறது,இருந்தும்,இருந்தாலும்,இருப்பதால்,இருக்கின்றது,இருக்காது,இருக்கின்றன,இருப்பதையோ,இருந்துகொண்டு,இருக்கவேண்டும்,இருக்கும்படி,இருந்தால்தான்,இருக்கிறோம்,இருக்கிறதா,இருப்பதாகத்,இருப்பவர்கள்,இருங்கள்,இருப்பதும்,இருப்பதாலும்,இருக்குமாறும்,இருந்ததாக,இருந்தாலே,இருக்கிறீர்கள்,இருந்தாலும்கூட,இருந்ததால்,இருப்பதாகவும்,இருக்கும்போது,இவ்விரு,இருக்கிறதே,இருந்ததை,இருப்பதாகக்,இருந்துள்ளார்,இருப்பார்,இருக்கலாம்,இருந்திருக்கின்றது,இருந்துள்ளது,இருந்துள்ளன,இருந்தபடியே,இருப்பதே,இருப்பவர்களுக்கு,இருந்தவர்,இருப்பதினாலும்,இருக்கக்கூடாது,இருப்பதில்லை,இருந்ததாகவும்,இருக்கிறார்கள்,இருக்கவும்,இருந்தபோது,இருக்குமென்று,இருக்கட்டும்,இருக்கப்போகிறது,இருக்கக்கூடிய,இருப்பவற்றில்,இருக்குமென்றாலும்,இருந்தார்,இருக்குமாம்,இருக்கமாட்டான்,இருந்தன,இருந்தார்கள்,இருந்திருக்கின்றன,இருந்தே,இருப்பவர்களும்,இருந்தபோதிலும்,இருக்கிறாய்,இருந்துதான்,இருந்தாக,இருப்பவை,இருக்கின்றார்கள்,இருப்பதைப்,இருந்துகொண்டேயிருக்கிறது,இருந்ததற்கு,இருக்கின்றனர்,இருப்போம்,இருக்கின்றதா,இருப்பார்கள்,இருப்பதுபோல,இருப்பதற்கு,இருக்கவைக்கும்,இருக்கத்தான்,இருந்திருக்கும்,இருந்தேன்,இருந்ததோ,இருந்திருந்த,இருந்ததாகப்,இருக்கிறதோ,இருக்கிறதில்லை,இருந்துகொண்டேயிருக்கும்,இருப்பதுதான்,இருக்கும்போதே,இருப்பதுடன்,இருப்பதிலேயே,இருக்கிறீர்களா,இருந்தாலோ,இருந்ததுதான்,இருக்கின்றோம்,இருக்குமேயானால்,இருப்பதுபோல்,இருந்தனவோ,இருக்கமுடியும்,இருப்பவர்களுக்கே,இருப்பதையும்,இருப்பவர்களே,இருக்குமானால்,இருப்பதற்காகப்,இருந்தவர்கள்,இருந்துள்ளனவோ,இருப்பவர்களையும்,இருக்கிறேன்,இருக்கிறத்,இருக்கவேண்டிய,இருக்கவில்லை,இருப்பவர்களின்,இருக்கும்படியும்,இருந்திருந்தால்,இருந்தனர்,இருப்பதால்தான்,இருக்காதாம்,இருந்தோம்,இருப்பதைப்போல,இருந்திருக்கிறார்கள்,இருப்பதாலேயே,இருந்ததே,இருந்ததாலே,இருக்கின்றனவா,இருக்கப்போவது,இருந்திருக்கிறது,இருப்பதற்கும்,இருக்கக்கூடும்,இருப்பதற்கான,இருந்தபோதும்,இருப்பதோடு"
மேல்,805,"மேலும்,மேல்,மேலே,மேலிலிருந்து,மேல்குறித்த,மேலுள்ள,மேல்தான்"
என்,796,"என்ற,எனவே,என்பது,என்பதை,என்பதில்,எனப்படும்,என்பதைப்,எனவும்,என்பவர்,என்கிறோம்,என்கிறது,எனப்படுபவர்,என்பதால்,என்பதைத்,என்பதுதான்,என்பதோடு,எனவேதான்,எனும்போது,என்பதையும்,என்பதைக்,என்பதைத்தான்,என்பவை,என்பர்,என்பதும்,என்பதே,எனத்,என்கிறார்,என்பதற்கு,என்பனவற்றை,என்றனர்,என்கிறனர்,என்கிறார்கள்,என்பார்கள்,எனச்,என்பதற்காக,எனக்,என்கின்றோம்,என்பதாகவே,எனப்படுகிறது,எனப்படுவது,என்பவருக்கு,என்பதற்கான,என்பதையே,என்பதால்தான்,என்பதாலோ,என்பதனை,என்பதற்கேற்ப,எனப்பட்டது,என்பதுகூட,என்பதைச்,எனலாம்,என்றப்,என்பவரால்,என்கின்றனர்,என்பதுபோல்,என்றவர்,என்பனவற்றால்,என்போம்,என்பதற்குப்,எனப்படுகின்றன,என்பதுடன்,என்பவரே,என்பதற்காகக்,என்பதற்காகவே,என்பதன்,என்பதாகும்,என்பவர்கள்,என்பதனால்,என்பதேயாகும்,என்பதினை,என்பதில்லை"
வரு,721,"வந்து,வருகின்றன,வருகிறது,வந்தவுடன்,வரும்,வந்துவிட்டது,வருவதாக,வருகின்றனர்,வந்தனர்,வந்தால்,வரக்கூடிய,வருவதற்கு,வந்துவிட்டன,வந்துவிட்டதா,வருபவர்களில்,வருவதற்கான,வரும்போது,வந்தவர்களிடம்,வந்ததோ,வந்திருக்கிறது,வராமல்,வந்தாலும்,வருகின்றோம்,வருகிறார்கள்,வருவது,வரலாம்,வந்துள்ளது,வந்ததொரு,வரவைக்கிறது,வந்தார்,வந்ததில்லை,வருபவர்களுக்கும்,வருவதும்,வந்துவிடும்,வருவதாகச்,வரவேண்டும்,வருவதால்,வந்தது,வரப்பட்டன,வந்திருந்தனர்,வருகிறோம்,வருகின்றது,வந்துள்ளனர்,வந்தோம்,வரப்பட்டு,வருவோரிடம்,வருவோரை,வரப்படுகிறது,வரப்படுகின்றன,வந்ததுதான்,வருவதாகவும்,வந்துகொண்டிருக்கிறது,வந்துவிட்டால்,வருமா,வந்தாலே,வந்தார்கள்,வருவதே,வருவோம்,வராது,வந்தும்,வந்ததால்,வருவதோடு,வந்திருக்கிறார்கள்,வருபவை,வருவதிலும்,வரப்பட்டுக்,வருவதைப்போல,வருகிறேன்,வந்தான்,வந்தபோது,வரப்படுகின்றது,வந்தேன்,வருகின்றதென்று,வருவதுபோல,வந்திருந்தால்,வந்துவிடுகிறது,வந்ததும்,வந்தபின்,வருவதினாலும்,வராவண்ணம்,வந்தபிறகு,வந்துவிட்டாலே,வருவதற்கும்,வந்தாலோ,வரப்படும்,வருவதில்லை,வந்தமையால்,வருபவர்கள்,வந்துள்ளோம்,வருகின்றார்,வருகிறதா,வருவார்கள்,வராதபடி,வந்துவிடுமாம்,வந்தவர்கள்,வருவாரா,வந்ததாகவும்,வருகின்றார்கள்,வருவதையும்,வரப்பட்டுள்ள,வந்துவிட்டார்,வந்துள்ளதாகவும்,வருகிறனர்,வருமாம்,வரப்பெற்ற,வந்தவன்,வரப்போகும்,வரக்கூடியது,வந்துகொண்டிருக்கின்றன,வந்திருந்தார்கள்,வரலை,வருவேன்,வந்தவையாகும்,வரப்போவதாக,வருதல்,வந்துள்ளார்,வரக்கூடும்,வருவதைத்,வருகிறவர்கள்,வந்திருக்கும்,வருவதற்குள்,வருவதற்காக,வருவதாலும்,வரும்பொழுது,வருவதற்குப்,வரச்சொன்னார்,வரச்சொல்லி,வரும்வரை,வராமலும்"
ஒரு,700,"ஒரு,ஒருமுறை,ஒருபுறம்,ஒருவிதமான,ஒருத்தர்,ஒருபுறமாகக்,ஒருமுறையும்,ஒருமுறையாவது,ஒருமுறைகூட,ஒருவிதக்"
அது,654,"அதோடு,அதற்கு,அதற்காக,அது,அதன்,அதில்,அத்தனை,அதனால்,அதற்குப்,அதுவே,அதாவது,அதனைப்,அதனுடன்,அதுதான்,அதற்கான,அதான்,அதுமட்டுமின்றி,அதுபோல,அதையும்,அதன்பின்,அதனடிப்படையில்,அதிலிருந்து,அதுபோல்,அதற்குத்,அதனுடைய,அத்தகைய,அதையொட்டி,அதிலேயே,அதற்குமேல்,அதன்படி,அதையொட்டிய,அதற்குத்தான்,அதற்கும்,அதற்குரிய,அதற்கேற்ப,அதுவும்,அதற்கொரு,அதன்பின்னர்,அதனைக்,அதிலுள்ள,அத்துடன்,அதற்குச்,அதுமட்டுமில்லாமல்,அதுவுமே,அதன்பேரில்,அதைப்போலவே,அத்தனையும்,அதையே,அதற்கேற்ற,அதற்கேற்றாற்,அதனால்தான்,அதனாலே,அதையும்கூட,அதைவிட,அதையொட்டியுள்ள,அதன்பிறகுதான்,அதுவொரு,அதிலும்,அதன்மேல்,அதற்குள்,அதன்மூலம்,அதற்குக்,அதுபோலச்,அதைப்பற்றிச்,அதனைத்,அதற்கெல்லாம்,அத்தனைப்,அதனுள்,அதனாலும்,அதற்கென்று,அதென்ன,அதுபோன்ற,அதையெல்லாம்விட,அதன்பின்பு,அதிலிருக்கும்,அதற்கப்பால்,அதனின்று,அதற்காகவே,அதனையும்,அதனிடையே,அதனோடு,அதன்கீழ்,அதற்காகச்,அதைப்பற்றியெல்லாம்,அதுகுறித்து,அதற்காகத்தான்,அதனைச்,அதன்பின்னரே,அதில்லாமல்,அதனடியில்,அதிலிருக்கிற,அதுபோக,அதுவரை,அதெல்லாம்,அதுசமயம்,அதற்குப்பிறகு,அத்தனைச்,அதுவரைக்கும்,அதுவல்ல,அதுபோலவே,அதுமட்டுமன்றி,அதுகூட,அதுபற்றி,அதற்கேற்றவாறு"
கொள்,635,"கொள்ளவும்,கொண்ட,கொண்டுள்ளன,கொண்டிருக்கிறது,கொண்டுள்ளது,கொண்டிருக்கும்,கொண்டது,கொள்கின்றன,கொள்ளவேண்டும்,கொண்டிருந்தால்,கொள்ளுங்கள்,கொள்ளலாம்,கொள்வது,கொண்டும்,கொண்டவை,கொண்டே,கொண்டிருக்கிறான்,கொண்டவர்கள்,கொள்ளவில்லை,கொள்கிறார்,கொள்ளாமல்,கொண்டுள்ளதால்,கொண்டோ,கொண்டிருக்காத,கொள்கிறது,கொண்டதால்,கொண்டிருந்தது,கொண்டனர்,கொண்டிருப்பதால்,கொண்டிருந்தும்,கொண்டதுமான,கொண்டுள்ளனர்,கொண்டுள்ளதாக,கொண்டேயிருக்கிறது,கொண்டிருக்கின்றன,கொண்டிராமல்,கொண்டதாக,கொண்டவர்களின்,கொண்டால்,கொண்டுள்ளோம்,கொள்வதில்,கொள்ளவுள்ளனர்,கொள்வதற்கு,கொள்கிறோம்,கொண்டாலொழிய,கொள்வதும்,கொண்டிருந்தனர்,கொள்ளமாட்டார்கள்,கொண்டிருக்கிறோம்,கொண்டிருந்தேன்,கொண்டுதான்,கொள்வதைப்,கொண்டவையும்,கொண்டவையாகும்,கொண்டார்கள்,கொண்டோம்,கொண்டிருந்தவர்கள்,கொண்டிருக்கும்போது,கொள்ளுதல்,கொண்டதும்,கொண்டதே,கொண்டிருக்கும்போதே,கொள்ளமுடியாமல்,கொள்வதுண்டு,கொள்வர்,கொள்ளத்தக்கவை,கொண்டிருப்பதும்தான்,கொள்ளவேண்டிய,கொண்டிருப்பதாகவே,கொண்டாலும்,கொண்டிருந்தார்கள்,கொள்ளலே,கொள்கிறேன்,கொண்டதாகவும்,கொள்வார்கள்,கொண்டுள்ளார்,கொள்வோம்,கொள்வதாகும்,கொண்டேன்,கொண்டிருக்கிறார்,கொண்டிருந்தாலும்,கொண்டதாகும்,கொண்டிருப்பவர்கள்,கொண்டேயிருக்கும்,கொண்டிருக்கிறேன்,கொண்டதுதான்,கொள்வேன்,கொள்வதால்,கொள்வதில்லை,கொள்கிறார்கள்,கொண்டேதான்,கொள்வதிலிருந்து,கொள்கின்றனர்,கொண்டதின்,கொள்வீர்,கொண்டவர்களில்,கொண்டிருக்காது,கொள்வோமா,கொள்வதோடு,கொள்பவரா,கொள்வதாலும்"
