Informal approach,  முறைசாரா அணுகுதல்: முறைசாரா அணுகல், 
Informal crowd,  தானே ஏற்பட்ட கும்பல், 
Irformal group,  முறைசாராக் குழு: மரபொவ்வாக் குழு, 
Informal norm,  முறைசாரா, 
nformal organization,  முறைசாரா அமைப்பகம், 
Informal situation,  முறைசாராச், 
nfinite series,  முடிவில்லாத் தொடர்கள், 
Infinite set,  முடிவில்லாக் கணம்: முடிவற்ற கணம்: முடிவிலாக் கணம்: முடிவிலா கணம்: முடிவுறா கணம், 
Infinitesimal,  மீச்சிறு/ கழிநுண்: மீநுண்ணளவு; நுண்ணெண்: மீநுண், 
Infinitesimal analysis,  மீநுண்ணளவுப் பகுப்பாய்வு; நுண்ணெண்பகுப்பாய்வு, 
Infinitesimal calculus,  நுண்ணெண் கணிதம், 
Infinitesimal change,  மீச்சிறு மாற்றம்: மீநுண் மாற்றம்: மீநுண்ணளவு வேறுபாடு, 
Infinitesimal charge,  கழிநுண் மின்னேற்றம்: மீநுண்ணளவு ஏற்றம், 
Infinitesimal line,  மீநுண்ணளவுக் கோடு, 
Infinitival clause,  குறைநிலை துணைநிலைத் தொடர்/ குறைநிலையெச்சத்தொடர், 
Infinitive,  வினையெச்சம்/ குறையெச்சம், 
Infinitive complementizer,  குறைநிலையெச்ச நிரப்பி, 
Infinitive mood,  செயவென் எச்சம், 
Infinitude,  எல்லையற்ற தன்மை, 
Infinitude of primes,  பகா எண்களின் ஈறிலாத் தன்மை, 
Infinity method,  ஈறிலி முறை/ கந்தழி முறை, 
Infinity transmitter,  ஈறிலி - ஊடு செலுத்தி/ கந்தழி அலைசெலுத்தி, 
Inflammation of the lung,  நெஞ்சடைப்பான், 
Inflammation of uterus,  கருப்பையழற்சி, 
Inflammatory carcinoma,  அழற்சிசார் புற்று நோய், 
Inflammatory fever,  எரிகாய்ச்சல், 
Inflammogen,  வீக்கவூக்கி, அழற்சியூக்கி, 
Inflationary spiral,  பணவீக்கச் சுழல்/ வீக்கத் திருகுசுருள்/ வீக்கச் சுருளி, 
Inflationary tendency,  வீக்கப் போக்கு, 
Inflation of currency,  பணத்தாள் பெருக்கம், 
Inflected,  உள்வளைந்த, உள்ளாக வளைந்த, 
Inflected arch,  உள்வளைவு வில், 
Inflectional affix,  சொல்லுருத் திரிபு - ஒட்டு, 
Infraclavicular,  காரையெலும்புக்குக் கீழாக, 
Infraconscious,  நாகரிகமற்ற மனப்பாங்குடைய, 
Infracostal,  விலாவெலும்புக்குக் கீழாக/ விலாஎலும்பின் கீழ், 
Infrafoliar,  இலைகளுக்குக் கீழே இடனமைந்த, 
Infrahyoid,  நாவடியெலும்புக்குக் கீழாக, 
Inframammary,  நகிலுக்குக் கீழாக: முலைச்சுரப்பிக்குக் கீழாக, 
Inframammillary,  முலைக்காம்புக்குக் கீழாக, 
Inframarginal,  விளிம்புக்குள்ளான, 
Inframaxillary,  முகவெலும்புக்கு அடியில், 
Infranuclear,  உட்கருவுக்குக் கீழாக, 
Infranuclear forces,  அணுக்கரு அகவிசைகள், 
Infraorbital,  வட்டணைத் தளத்தின் கீழாக அமைந்துள்ள/ வட்டணைக்குக் கீழமைந்துள்ள, 
Infraorbital glands,  விழிக்கீழ்ச் சுரப்பிகள், 
Infrapatellar,  சில்லெலும்புக்குக் கீழாக, ஆழ் சில்கீழ் இழைமப் பை, 
Infrared absorption,  அகச்சிவப்பு ஈர்ப்பு, அகச்சிவப்பு உள்ளீர்ப்பு, அகச்சிவப்பு உட்கவர்பு, 
Infrared beacon,  அகச்சிவப்புக் கரைவிளக்கு, அகச்சிவப்பு வழிவிளக்கு, 
nfrared binoculars,  அகச்சிவப்பு – இருநோக்கி, 
Infrared catastrophe,  அகச்சிவப்பு பேரழிவு, அகச்சிவப்புப் பேரழிவு, 
Infrared communications set,  அகச்சிவப்புத் தொடர்பியல் பொருட்கணம், 
Infrared detector,  அகச்சிவப்பு காணி, அகச்சிவப்புத் துலக்கி, அகச்சிவப்பு கண்டுணர்வி, 
Infrared dome,  அகச்சிவப்புக் கும்மட்டம், 
Infrared emission,  அகச்சிவப்பு உமிழ்வு, அகச்சிவப்புலை உமிழ்வு, 
Infrared-emitting diode,  அகச்சிவப்பு உமிழும், 
Infrared film,  அகச்சிவப்புப் படலம், அகச்சிவப்பு நுண்படம், 
Infrared filter,  அகச்சிவப்பு வடிப்பி, அகச்சிவப்பு வடி, அகச்சிவப்பு வடிப்பான், 
Infrared heating,  அகச்சிவப்புச் சூடேற்றம், அகச்சிவப்புச் சூடாக்கம், 
In forma pauperis,  வழக்கிடமுடியா வறுமை நிலையில்/ வறியவர் நிலையில்/ வழக்கிடவியலா வறுமை நிவையில், 
Information channel,  தகவல் தடம், தெரி - செய்தி அலையதர், 
Information content,  தகவல் அளவு, தெரி - செய்தி உள்ளடக்கம், 
Information feedback system,  தெரி - செய்திப் பின்னூட்ட முறை, தகவல் பின்னூட்ட அமைப்பு, 
Information flow,  தகவல் பாய்வு , தெரி - செய்திப் பாய்வு, 
Information forecast,  தெரி - செய்தி முன்கணிப்பு, 
Information interchange,  தெரி - செய்தி, தகவல் இடைமாற்றம், 
Information scienice,  தெரி செய்தியறிவியல், 
Information separator,  தெரி - செய்தி பிரிப்பான், 
Information source,  தெரி - செய்தி மூலவாய், தகவல் மூலம், 
Information wave,  தெரி-செய்தி அலை, 
Informative prose,  தெரி - செய்தி அறிவிப்பு நடை, 
Informative sign,  தெரி - செய்தி அறிவிப்புக்குறி, 
Infra-axillary,  அக்குளுக்குக் கீழாக, 
Infrabasal,  அடிக்கட்டமைப்புக்குக் கீழாக, 
Infrabranchial,  செவுளுக்குக் கீழாக அமைந்துள்ள, 
Infrabuccal chamber,  கீழ்வாய்க்குழி அறை, 
