worship with sacred fire on an altar,  யாகம், 
ctittmam,  யாகம், 
akittmam,  யாகம், 
attiyakittmam,  யாகம், 
vacapeyam,  யாகம், 
atirattirakam,  யாகம், 
cmayakam,  யாகம், 
kantakam,  யாகம், 
caturmaciyam,  யாகம், 
cavuttiramani,  யாகம், 
puntarikam,  யாகம், 
civakamam,  யாகம், 
mayentiram,  யாகம், 
akicaman,  யாகம், 
iracacuyam,  யாகம், 
accuvametam,  யாகம், 
viccuvacittu,  யாகம், 
narametam,  யாகம், 
varieties of spiritual discipline,  யாகம், 
sacrifice of five kinds,  யாகம், 
venetics of siritual discipline,  யாகம், 
oblations at a sacrifice,  யாகவிபாகம், 
festival performed by raising donations to meet the expenses,  யாசகத்திருநாள், 
rutting elephant,  யாசகம், 
royal elpehant,  யாசகம், 
priest officiating at a sacrifice,  யாசகன், 
priest offciating at a sacrifice,  யாசகன், 
enabling one to perform a sacrifice by officiating as priest,  யாசனம், 
that which is lent without interest,  யாசிதகம், 
thing borrowed for use,  யாசிதகம், 
thing borrowed for use without rent,  யாசிதகம், 
ascribed to yaja valkya,  யாஞ்ஞவல்கியம், 
qv n opanisad,  யாஞ்ஞவல்கியம், 
the book of exodus,  யாத்திராகமம், 
in the old testament,  யாத்திராகமம், 
march,  அணிவகுத்து நட/ வானியல் காலவரை மாற்றம், அணிவகுப்பு, அணிவகுப்பு நடை, அணிவகு, யாத்திராகரணம்: முன்னேறு, அணிவகுத்துச்செல், அணிவகுத்துச் செல், 
make expedition,  யாத்திராகரணம், 
propitiatory gift made at the beginning of a journey or of a festival to insure its successful termination,  யாத்திராதானம், 
propitiatory gift made in death bed,  யாத்திராதானம், 
propitiatory gift made at the beginning of a journey or of a festival to insure its sucessful termination,  யாத்திராதானம், 
propitiatory gift made in-death-bed,  யாத்திராதானம், 
being on tour,  யாத்திராப்பிரசங்கம், 
stock of cattle,  யாதவம், 
yadavas,  யாதவர், 
as descendants of yadu,  யாதவர், 
persons of the cowherd caste,  யாதவர், 
yadavas as descendants of yadu,  யாதவர், 
as a female descendant of yadu,  யாதவி, 
the goddess uma,  யாதவி, 
as the sister of krsna,  யாதவி, 
as the sister of,  யாதவி, 
the body created to undergo the experiences of hell,  யாதனாசரீரம், 
the tortures of hell,  யாதனை, 
exact condition,  யாதாத்மியம், 
true state,  யாதாத்மியம், 
written memorandum,  யாதாத்து, 
official memorandum addressed by one official to another of equal status,  யாதாத்து, 
memorandum of interlineation,  யாதாத்து, 
in a document,  யாதாத்து, 
deep thought,  யாதி, 
whiling away ones time,  யாபனம், 
azimuth,  திசைவில், தொடுவானக் கோணம், திசைக்கோணம், யாம்மியோத்தராந்தம்// சாய்வுக்கோணம், உச்ச அடிவான வளைகோடு/ கிடைமட்டக்கோணம்: முகட்டு வட்டை, அடிவானத்திசை, திசையம்சம்/ வானுச்சி, 
as the distance from north to south,  யாம்மியோத்தராந்தம், 
a tantric treatise,  யாமளருபதேசம், 
the principal followers of yamalakamam,  யாமளாசாரியர், 
the principal followers of,  யாமளாசாரியர், 
colloq the second member of a compound word meaning that which is combined with,  யுக்தம், 
suitablenes,  யுக்தம், 
the second member of a compound word meaning that which is combined with,  யுக்தம், 
trick or de,  யுக்தி, 
keen understanding,  யுக்தி, 
colloq counsel,  யுக்தி, 
deleberation,  யுக்தி, 
period comprising the end of one yuga and the beginning of the next equivalent ot one sixth of the duration of the earlier yuga,  யுகசந்தி, 
the characteristics of a particular yuga,  யுகதருமம், 
as detailed in the sastras,  யுகதருமம், 
the characteristics of a particular yuga as detailed in the,  யுகதருமம், 
pole of a carriage to which the yoke is fixed,  யுகந்தரம், 
a countsry,  யுகந்தரம், 
cosmic deluge at the end of a cycle of yugas,  யுகப்பிரளயம், 
the difference in characteristics between one yuga and another,  யுகபேதம், 
a long period of time,  யுகம், 
kiruta yukam,  யுகம், 
tireta yukam,  யுகம், 
tuvapara yukam,  யுகம், 
kali yukam,  யுகம், 
a measure of four cubits,  யுகம், 
kiruta-yukam,  யுகம், 
kali-yukam,  யுகம், 
coule,  யுகம், 
the end of a yuga,  யுகமுடிவு, யுகாந்தம், 
beginning of a yuga,  யுகாதி, 
the new year day of the telugus and the kanarese,  யுகாதி, 
beginning of the year,  யுகாதி, 
the end of yuga,  யுகாந்தம், 
the all consuming fire at the end of a cycle of yugas,  யுகாந்தாக்கினி, 
one who practises yoga,  யுஞ்சானன், 
one armed or equipped for battle,  யுத்தசன்னத்தன், 
preparation for battle,  யுத்தசன்னாகம், 
preparedness for war,  யுத்தசன்னாகம், 
renunciation of military life,  யுத்தசன்னியாசம், 
precession of the equinoxes at a given time,  யுத்தநாதி, 
table of the precession of the equinoxes for a given time,  யுத்தநாதிவாக்கியம், 
a measurement,  யுத்தம், 
proriety,  யுத்தம், 
theatre of war,  யுத்தரங்கம், போர்க்களஅரங்கம், 
a figure of speech in which an appropriate reason is suggested,  யுத்தவேது, 
what is proper and what is improper,  யுத்தாயுத்தம், 
propriety and impropriety,  யுத்தாயுத்தம், 
man of keen,  யுத்திக்காரன், 
resourceful intellect,  யுத்திக்காரன், 
logical or rational conclusion,  யுத்திசித்தி, 
argument founded on pure reason and not on scriptural authority,  யுத்திவாதம், 
one who is prepared and ready for war,  யுத்தோன்முகன், 
dharma putra,  யுதிட்டிரன், 
the eldest of the,  யுதிட்டிரன், 
heir apparent to the throne,  யுவராசன், 
heir-apparent to the throne,  யுவராசன், 
crown-prince,  யுவராசன், 
unani,  யுனானி, 
Greek school of medicine practised by Indian Muslims,  யுனானி, 
greek school of medicine,  யுனானி, 
practised by indian muhammadans,  யுனானி, 
quickwitted person,  யூகசாலி, 
quick witted person,  யூகசாலி, 
broomstick grass,  யூகம், 
arrangement or disposition of the forces for fighting,  யூகம், 
headless trunk of a body,  யூகம், யூபம், 
keen preception,  யூகம், 
arrangement or disposition of the forces for fighting military array,  யூகம், 
ingenious person,  யூகி, 
man of keen understanding,  யூகி, 
colloq to examine,  யூகி, 
a minister of udayana,  யூகி, 
king of vatsa,  யூகி, 
famous for his political wisdom,  யூகி, 
guess conjecture,  யூகி, 
to infer conclude,  யூகி, 
to examine scrutinize,  யூகி, 
a minister of,  யூகி, 
king of vasta,  யூகி, 
a kind of secret language,  யூகிப்பயில், 
a linear measure of yavai,  யூகை, 
inference from a text,  யூகை, 
drawn by its commentator,  யூகை, 
erudite person,  யூகை, 
elephant which has strayed away from its herd,  யூதப்பிரட்டன், 
chief elephant,  யூதபம், 
leader of a herd of elephants,  யூதபம், 
battalion,  யூதம், படைப் பிரிவு, பட்டாளம், அணிப்படை கணகம், படைப்பிரிவு, 
battalion troop,  யூதம், 
judaism,  யூதவியம், யூதமதம், 
the jews,  யூதர், 
post or stake to which the sacrificial animal is fastened,  யூபத்தம்பம், 
battlearray,  யூபம், 
allowance or pension,  யூமியா, 
calculated originally by the day,  யூமியா, 
to lend money to a person without security depending on his honesty,  யோக்கியத்துக்குக் கொடுத்தல், 
to risk ones money in trade,  யோக்கியத்துக்குக் கொடுத்தல், 
consideration of appropriateness or fitness regard of qualification or merits,  யோக்கியதாபட்சம், 
diploma of educational attainments,  யோக்கியதாபத்திரம், 
certificate of good character,  யோக்கியதாபத்திரம், 
person worthy to receive gifts,  யோக்கியபாத்திரம், 
person of respectability,  யோக்கியபாத்திரம், யோக்கியவான், 
worthy conduct,  யோக்கியம், 
person of respect ability,  யோக்கியவான், 
honourable man,  யோக்கியன், 
serviceable,  யோக்கியன்/ வழங்கத்தக்க, பயனுடைய, பணியாற்றத் தக்க, பயன்படத்தக்க, 
seat or place suited to ones dignity,  யோக்கியாசனம், 
seat of place suited to ones dignity,  யோக்கியாசனம், 
equation table of the suns true motion for every day in the year,  யோக்கியாதி, 
worthiness and unworthiness,  யோக்கியாயோக்கியம், 
sitting cross legged on the hams and binding the folded legs with the body by means of a strap,  யோகக்கட்டு, 
setting cross-legged on the hams and binding the folded legs with the body by means of a strap,  யோகக்கட்டு, 
yogic perception of the soul,  யோகக்காட்சி, யோகப்பிரத்தியட்சம், 
transcending the limitations of time and place,  யோகக்காட்சி, 
transcending the limitation of time and place,  யோகக்காட்சி, 
